669	657	651	678	672	652
667	656	654	679	672	653
665	656	655	673	673	655
667	656	655	680	672	653
670	657	652	677	673	653
665	657	652	676	674	653
666	657	655	679	672	653
666	657	655	677	673	654
667	656	653	675	674	653
665	655	652	683	673	654
665	658	653	683	673	654
666	657	654	682	675	654
666	655	653	682	671	654
669	656	654	680	675	654
667	658	654	677	675	654
663	656	655	675	674	653
664	656	652	681	676	654
665	655	651	676	675	653
665	656	654	678	672	653
665	656	654	674	675	655
670	656	651	675	674	653
667	657	653	678	672	654
665	657	655	674	674	654
665	654	651	677	674	652
667	656	654	674	673	654
667	656	653	681	672	654
666	656	655	684	673	654
665	656	655	679	674	653
664	657	653	678	673	654
667	654	654	677	674	653
669	658	653	674	674	654
668	656	654	674	676	654
667	658	655	682	674	654
668	657	655	680	672	652
665	655	653	679	674	654
667	655	654	677	672	653
664	658	653	674	675	653
666	655	652	681	671	653
666	653	654	678	672	652
669	657	653	683	673	654
665	658	654	680	673	654
668	658	651	678	673	653
667	658	651	675	673	653
670	656	655	680	674	654
666	656	653	680	674	653
666	657	655	682	675	653
662	655	649	674	676	653
665	655	652	678	673	652
669	656	654	679	674	654
664	656	654	681	673	653
666	657	653	680	672	653
665	656	654	679	674	653
665	655	651	681	673	652
666	654	653	679	672	653
667	658	655	679	673	652
665	658	655	674	673	654
667	657	653	678	673	653
666	656	653	677	674	654
667	657	655	676	674	654
666	655	654	680	675	654
666	657	650	677	674	652
668	656	653	684	675	653
666	656	653	682	674	654
667	656	654	680	672	654
666	657	653	681	673	654
664	658	654	672	674	654
666	656	651	678	674	652
668	657	654	674	674	653
666	656	656	677	675	652
667	656	651	675	674	651
665	655	657	677	673	654
664	656	654	682	673	653
666	656	653	681	673	653
667	657	653	683	673	655
667	656	654	683	675	654
665	656	655	677	675	653
668	656	654	676	673	654
666	656	652	682	671	653
665	658	652	673	672	654
664	657	651	681	674	653
661	656	655	676	675	653
666	654	654	678	673	652
666	655	654	676	672	654
664	656	655	680	673	652
664	655	656	675	674	654
667	656	654	679	673	653
667	655	655	678	674	653
666	656	653	675	673	654
665	658	654	681	672	653
665	657	651	675	673	654
667	656	655	679	673	653
669	656	655	680	673	653
669	656	653	684	674	653
667	654	654	680	673	653
666	656	656	678	675	653
666	657	652	676	673	653
665	655	651	675	673	653
666	655	653	680	673	654
666	657	651	677	675	654
668	657	657	673	675	654
667	655	652	681	673	654
669	657	654	681	671	653
668	656	656	682	672	652
667	658	654	682	674	653
667	657	656	674	673	654
669	656	653	673	674	654
666	656	655	679	674	654
663	657	653	677	672	653
668	655	655	677	676	653
667	657	656	676	673	654
670	656	654	682	673	654
665	658	653	679	673	652
668	657	651	684	673	654
664	657	654	674	675	653
665	656	653	676	673	653
667	657	656	674	674	653
666	654	652	684	674	655
666	656	654	682	675	654
666	657	655	676	673	654
665	658	655	682	673	654
667	659	654	683	673	654
665	656	654	682	674	652
666	657	653	682	674	653
665	657	655	675	675	653
665	657	654	681	673	654
665	655	654	676	673	653
667	655	655	678	671	653
668	658	653	679	673	652
667	658	652	682	676	653
669	656	655	682	672	654
666	658	655	678	673	654
667	658	654	676	675	652
666	657	653	677	675	654
665	654	658	677	676	654
667	657	656	676	675	654
666	657	653	681	675	652
668	659	653	678	674	654
