667	659	657	684	673	654
668	656	655	683	675	654
669	657	657	677	675	653
667	657	657	685	674	654
669	657	656	683	674	653
667	657	657	679	676	653
672	657	657	678	676	653
669	658	655	682	672	654
668	657	657	677	674	654
669	658	660	674	676	653
668	658	657	679	672	654
672	656	656	677	677	655
671	658	655	685	676	653
668	659	655	678	675	653
668	659	657	674	676	654
665	659	656	672	676	653
670	658	656	679	678	654
672	658	658	675	676	653
669	658	655	680	678	653
667	655	657	677	677	653
669	660	657	685	678	654
669	659	657	678	677	654
670	658	656	679	678	654
669	656	655	683	673	655
665	656	655	679	678	654
668	657	657	686	676	654
665	660	659	684	677	654
668	659	654	674	677	653
672	658	657	680	678	654
665	659	654	675	677	654
673	658	658	673	676	655
667	658	658	683	677	653
671	657	655	678	677	653
670	660	654	681	677	652
666	660	657	683	679	654
671	656	657	679	678	655
667	659	656	683	677	654
669	657	655	684	677	653
671	659	656	679	676	655
673	657	657	680	676	655
669	657	654	686	679	654
666	659	658	682	676	654
672	659	658	679	679	653
670	658	654	682	675	656
669	659	657	679	677	654
672	657	655	683	677	653
670	658	657	680	678	655
668	658	655	687	677	653
672	659	658	677	679	653
671	657	655	683	676	654
672	659	657	680	678	653
668	659	656	680	678	654
669	657	657	684	675	654
672	659	656	678	677	655
668	659	658	681	678	654
670	659	651	683	679	653
668	659	657	684	678	654
670	660	654	680	679	655
669	659	658	675	678	654
668	658	657	675	678	655
671	659	661	686	676	655
667	658	655	674	679	654
673	658	658	674	679	655
672	659	659	673	678	656
671	659	654	677	679	654
666	659	657	676	678	655
672	660	659	685	679	655
668	658	657	680	679	655
668	660	656	680	676	657
671	658	661	686	679	657
670	656	657	675	680	655
670	659	661	673	680	656
671	658	659	672	680	656
670	659	658	677	677	655
672	657	661	682	675	657
666	660	657	684	679	657
669	660	655	676	679	655
668	660	658	674	680	658
671	659	658	685	680	657
673	660	658	674	680	658
671	660	656	682	680	656
672	659	656	675	679	655
671	659	659	676	679	659
670	659	659	686	679	657
670	658	656	677	680	658
674	660	659	676	679	657
673	660	656	675	680	658
669	660	657	683	680	657
673	660	656	680	679	658
671	660	659	682	680	657
671	661	660	683	681	658
670	659	657	678	681	659
669	659	659	681	680	660
675	660	659	686	679	658
673	659	659	684	681	657
670	659	658	681	678	656
671	661	657	686	680	658
670	659	657	681	680	657
672	660	658	685	682	656
670	661	660	680	681	657
671	659	660	677	678	656
674	658	660	686	681	659
670	659	654	685	680	656
671	658	659	686	680	657
672	659	658	674	679	658
671	659	660	677	681	657
672	659	660	680	681	658
671	661	659	683	680	656
674	659	661	682	679	656
672	658	662	682	681	654
677	659	658	687	679	657
672	660	661	684	680	655
672	658	660	687	680	655
677	659	660	684	679	656
672	660	658	683	680	657
673	657	662	684	679	655
672	660	663	680	680	656
671	657	661	682	680	654
674	658	661	684	679	655
673	657	659	676	679	655
671	659	659	683	679	655
676	658	664	686	680	655
672	657	660	683	677	655
670	658	660	670	675	655
670	657	661	681	678	655
675	658	661	685	678	653
677	657	665	686	678	654
670	658	663	686	680	654
672	658	662	687	678	654
672	658	662	677	678	653
670	658	664	681	677	654
676	658	664	687	678	653
672	657	663	684	678	654
672	657	662	681	674	653
672	655	662	675	676	652
674	658	661	685	677	652
673	657	663	674	679	653
673	656	662	675	677	654
668	655	659	677	675	653
670	657	660	677	676	654
672	656	660	685	678	654
667	657	658	684	675	655
675	658	661	681	674	654
671	656	660	686	674	654
668	658	659	683	677	653
669	657	655	684	676	654
670	657	657	682	678	653
667	658	659	679	674	655
669	656	658	684	673	654
669	655	659	675	677	654
666	658	659	681	677	655
668	658	660	681	677	654
666	655	658	675	675	652
673	656	659	676	676	654
673	657	656	681	675	654
671	659	657	682	676	654
671	658	658	677	677	653
669	657	657	681	673	655
668	657	655	678	671	653
668	655	659	680	673	652
672	659	657	678	675	654
667	656	659	674	676	654
670	658	657	682	672	654
672	659	654	683	676	653
669	659	659	678	676	653
668	656	655	682	675	652
672	657	658	680	677	653
669	657	656	684	674	653
667	657	657	685	677	654
665	654	659	672	678	653
668	658	654	683	674	652
669	658	658	684	676	653
668	654	653	673	676	652
673	655	652	684	676	652
667	656	658	684	674	652
666	656	655	680	674	654
666	658	659	684	676	654
668	656	659	675	676	653
668	656	655	679	673	654
667	657	656	675	675	653
668	654	659	673	675	653
666	658	656	685	675	653
672	656	658	678	673	652
670	656	657	674	677	652
665	657	656	675	676	652
665	655	658	679	677	651
670	656	656	685	676	653
665	658	655	676	674	653
668	656	655	684	673	653
667	656	658	674	676	653
668	654	660	674	674	652
666	657	659	685	673	653
668	656	658	677	676	651
666	658	657	675	677	652
668	656	656	681	674	653
668	656	655	677	676	652
669	655	654	677	671	654
666	656	659	686	673	652
668	657	657	684	671	652
671	656	656	680	674	652
668	657	649	682	676	653
667	656	659	683	676	653
670	658	655	683	675	653
670	658	654	685	674	653
668	658	654	683	674	653
669	656	654	672	677	652
671	656	656	682	675	653
664	654	656	679	674	652
663	656	658	677	675	654
664	655	656	675	674	653
668	656	658	673	675	653
668	655	654	685	673	653
666	658	659	673	677	653
669	656	659	676	675	653
669	657	655	683	673	654
666	655	657	674	674	652
667	657	658	678	673	654
666	656	656	675	673	653
666	657	656	680	671	653
668	656	656	678	673	654
667	655	654	675	676	653
667	657	653	674	674	653
